model,overall_accuracy,acc_SouthAsian,acc_Black,acc_White,acc_EastAsian,acc_Female,acc_Male,overall_jaccard,overall_exact_match,jaccard_SouthAsian,jaccard_Black,jaccard_White,jaccard_EastAsian,jaccard_Female,jaccard_Male
v1_model,0.3925925925925926,0.0,0.3333333333333333,0.7450980392156863,0.0,0.42857142857142855,0.3611111111111111,,,,,,,,
v2_model,0.23684210526315788,0.3157894736842105,0.15789473684210525,0.3684210526315789,0.10526315789473684,0.2727272727272727,0.20930232558139536,,,,,,,,
v3_model,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
